name,team,number,position,height_cm,birth_year,player_type,draft_year,draft_type,draft_round,draft_overall
김한솔,서울 삼성,71,C,198,,국내,2018,신인드래프트,1,7
박민우,서울 삼성,30,F,196,,국내,2020,신인드래프트,3,1
박민채,서울 삼성,17,G,183,,국내,2022,신인드래프트,2,5
박승재,서울 삼성,3,G,178,,국내,2023,신인드래프트,1,7
윤성원,서울 삼성,27,F,196,,국내,2017,신인드래프트,2,4
이관희,서울 삼성,11,G,189,,국내,2011,신인드래프트,2,5
이근휘,서울 삼성,19,F,188,,국내,2020,신인드래프트,1,8
이대성,서울 삼성,43,G,190,,국내,2013,신인드래프트,2,1
이동엽,서울 삼성,9,G,193,,국내,2015,신인드래프트,1,5
이원석,서울 삼성,2,F,207,,국내,2021,신인드래프트,1,1
임동언,서울 삼성,12,F,195,,국내,2024,신인드래프트,1,8
저스틴 구탕,서울 삼성,18,G,187,,아시아쿼터,,,, 
조준희,서울 삼성,6,G,189,,국내,2023,신인드래프트,1,4
최성모,서울 삼성,7,G,187,,국내,2016,신인드래프트,1,7
최현민,서울 삼성,8,F,195,,국내,2012,신인드래프트,1,4
한호빈,서울 삼성,5,G,181,,국내,2013,신인드래프트,1,6
황영찬,서울 삼성,16,G,179,,국내,2024,신인드래프트,2,8
